#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      346.6   212.3   148.8   209.6   224.4   323.9   379.7   410.3   431.3   455.3   484.0   527.8   636.1  1557.0  8904.4  30350.8    30350  1715444279933  1715444290054
read      345.2   204.8   148.8   209.6   224.4   321.0   375.8   407.0   429.3   454.4   484.7   530.1   641.3  1472.5  8503.2  30376.9    30355  1715444291563  1715444301677
read      347.6   197.6   160.7   211.3   226.0   325.1   381.4   411.6   431.9   455.5   483.6   526.6   634.3  1491.4  8203.9  30408.7    30360  1715444303186  1715444313311
read      348.0   204.7   148.8   211.3   226.1   326.7   383.1   413.1   433.2   456.1   483.1   524.0   626.8  1454.1  8864.3  30262.8    30365  1715444314819  1715444324933
read      348.9   232.9   148.8   211.1   225.5   324.7   380.7   411.3   432.0   455.3   482.9   526.4   644.8  2323.8 10350.5  30453.9    30370  1715444326442  1715444336561
read      350.0   233.6   148.8   210.5   225.4   326.0   381.4   411.7   432.8   456.9   486.0   530.8   648.2  2166.4  8761.3  30425.0    30375  1715444338071  1715444348196
read      349.0   227.7   148.8   210.5   225.3   324.6   379.9   410.5   431.9   456.6   486.4   531.8   646.4  2178.4  9022.6  30374.9    30380  1715444349708  1715444359824
read      348.8   197.7   148.8   210.9   225.6   325.4   381.4   412.3   433.5   457.9   487.2   532.2   653.9  1844.5  8081.3  30261.1    30385  1715444361332  1715444371451
read      344.9   206.7   160.7   210.2   224.8   322.8   377.4   407.2   428.2   451.7   478.9   520.4   627.7  1506.8  8473.6  30323.0    30390  1715444372959  1715444383087
read      347.6   225.5   160.7   211.3   225.9   324.9   381.2   411.4   431.9   454.9   481.6   522.1   628.2  1543.2 11650.9  30391.7    30395  1715444384597  1715444394712
read      347.8   200.8   160.7   212.0   226.4   324.3   378.8   409.0   430.2   454.6   484.1   529.7   662.2  1632.8  8495.2  30343.8    30400  1715444396222  1715444406345
read      347.1   188.4   160.7   213.4   227.7   324.4   377.5   407.6   429.4   454.3   484.5   530.5   641.0  1535.1  8443.5  30456.6    30405  1715444407852  1715444417974
read      349.4   203.5   160.7   212.3   227.0   326.6   382.9   413.3   434.1   458.4   487.7   531.8   639.6  1692.4  8469.5  30448.9    30410  1715444419482  1715444429606
read      348.9   200.4   160.7   211.2   225.8   326.1   384.2   415.1   435.8   459.6   488.1   530.8   636.5  1468.3  9247.8  30397.6    30415  1715444431113  1715444441233
read      345.5   198.9   148.8   211.0   225.6   324.1   379.0   409.6   430.4   453.7   480.8   522.7   631.5  1290.1  8399.1  30407.0    30420  1715444442743  1715444452857
read      344.3   205.9   160.7   211.1   225.4   320.3   373.5   404.0   426.1   450.5   478.9   522.4   636.4  1947.3  8035.6  30496.6    30425  1715444454367  1715444464491
read      349.2   213.3   148.8   212.8   227.3   326.5   383.2   413.7   434.1   457.7   486.3   529.9   645.8  1290.3 10188.0  30428.0    30430  1715444466000  1715444476119
read      350.5   213.7   160.7   211.3   226.1   326.8   383.5   414.7   435.7   459.8   489.1   534.2   653.3  1823.5  8566.3  30472.1    30435  1715444477629  1715444487753
read      348.6   199.5   160.7   212.1   226.9   325.9   380.3   410.6   432.0   456.1   484.9   528.9   642.6  1669.6  8041.7  30425.9    30440  1715444489261  1715444499384
read      348.0   218.8   148.8   211.3   225.9   324.6   381.3   411.7   432.2   455.6   483.3   525.2   628.6  2059.5  8480.0  30437.5    30445  1715444500893  1715444511016
read      347.2   202.1   160.7   212.1   226.8   325.2   379.6   409.6   430.3   453.9   481.8   524.2   629.5  1824.0  8329.2  30453.5    30450  1715444512527  1715444522655
read      349.7   193.1   148.8   213.9   229.5   328.6   383.6   413.6   433.9   457.3   485.2   528.5   637.8  1317.1  8018.3  30411.8    30455  1715444524163  1715444534275
read      350.8   201.9   160.7   215.0   229.6   326.7   382.4   413.3   434.1   458.4   488.0   533.3   647.6  1794.6  8096.4  30418.9    30460  1715444535785  1715444545906
read      348.2   178.6   148.8   213.7   227.9   327.3   383.9   414.0   433.9   456.9   484.2   525.7   629.5  1200.9  7838.4  30477.1    30465  1715444547417  1715444557539
read      349.2   190.6   148.8   212.2   227.0   327.6   384.4   414.9   435.1   458.7   487.2   530.7   637.5  1411.1  8202.2  30418.9    30470  1715444559050  1715444569170
read      343.4   214.8   160.7   209.1   223.7   320.9   375.7   405.8   427.0   450.1   476.4   517.8   626.5  1608.1  8287.7  30490.0    30475  1715444570681  1715444580808
read      348.9   195.2   160.7   212.0   226.7   328.3   384.7   414.6   434.5   457.0   483.7   524.5   632.9  1558.1  8517.7  30535.9    30480  1715444582317  1715444592452
read      349.1   218.8   148.8   211.3   226.1   325.8   382.0   413.0   434.0   458.1   486.9   530.3   639.8  1671.9  8613.9  30522.0    30485  1715444593961  1715444604084
read      347.9   251.0   160.7   211.2   225.6   322.9   378.3   408.8   429.9   453.7   481.7   524.6   636.9  2472.7 11481.3  30393.9    30490  1715444605595  1715444615708
read      349.1   209.7   160.7   212.0   226.6   325.9   383.1   414.1   434.8   458.4   486.8   529.9   636.0  1535.1  8741.0  30514.3    30495  1715444617218  1715444627343
read      341.9   225.7   148.8   209.0   223.4   318.0   370.1   400.6   422.5   446.5   473.6   516.4   629.1  1964.7  8832.3  30521.7    30500  1715444628854  1715444638979
