Random waveform, supplied seed
Total number of intervals = 450 (7434, 67201, 85927, 63953, 31595, 87879, 7287, 62295, 6561, 22532, 60653, 59076, 60154, 22964, 8172, 27652, 37594, 24367, 33771, 84944, 85666, 51918, 34406, 28664, 38289, 20658, 13840, 93419, 98284, 71313, 42089, 46458, 30755, 42889, 93552, 65694, 29574, 51355, 67361, 16287, 81508, 87619, 99068, 51267, 11822, 97494, 97350, 55460, 85984, 82043, 52873, 13911, 49984, 9274, 27187, 18735, 86505, 93039, 75999, 32324, 84255, 81759, 37291, 53818, 30297, 31569, 38927, 10652, 98119, 48176, 34929, 69735, 20753, 84642, 42333, 61587, 77998, 97625, 23781, 66723, 31016, 47394, 95335, 5252, 65908, 16889, 42912, 99898, 26385, 22616, 50605, 90283, 26273, 48521, 34058, 75648, 19482, 15054, 75754, 5187, 17656, 96343, 36665, 85269, 31525, 61798, 12253, 25710, 79937, 7271, 85861, 91467, 72217, 31080, 76878, 84584, 12492, 57106, 96245, 6791, 90728, 5151, 82969, 42635, 99337, 95192, 69200, 49459, 29055, 64324, 5705, 84816, 23714, 74116, 19948, 44213, 19454, 7190, 47657, 44399, 6481, 5807, 83137, 9580, 37385, 33706, 35204, 50438, 48878, 42682, 27416, 64424, 64364, 5481, 26227, 26586, 86286, 24452, 26832, 29795, 46224, 84587, 63389, 46953, 90536, 12508, 38491, 97806, 11813, 39665, 53571, 63215, 78767, 8615, 67903, 16398, 53434, 38068, 9130, 69227, 37496, 83925, 51037, 33690, 51474, 73708, 98618, 81977, 91567, 48236, 91726, 52458, 70467, 71151, 65016, 42057, 78821, 60720, 39911, 10628, 73736, 7334, 91868, 76670, 10405, 26019, 55530, 29615, 66057, 55281, 21177, 88239, 70227, 23421, 97104, 6235, 58045, 23729, 40897, 53312, 87262, 81836, 92274, 47252, 75747, 80994, 98224, 7737, 37514, 10640, 90490, 92514, 89245, 73823, 46565, 21419, 66915, 31667, 72255, 99535, 9226, 67844, 71413, 97328, 55113, 53743, 15253, 90605, 25767, 93458, 95080, 88399, 95681, 33003, 98809, 64610, 51183, 20194, 7602, 46677, 5577, 23035, 57516, 62851, 38431, 25729, 19443, 19461, 42341, 5691, 40223, 29941, 41162, 43863, 20318, 93421, 48578, 40595, 17677, 78948, 9703, 9686, 7968, 15830, 8192, 79410, 76582, 54634, 72177, 15101, 8167, 44130, 53047, 97171, 81360, 77277, 38294, 11165, 74155, 12255, 52404, 17057, 6005, 85707, 79742, 58322, 26212, 69487, 29507, 51412, 67374, 55125, 53048, 12192, 36138, 60799, 36368, 39729, 95693, 40999, 65037, 12633, 50117, 62765, 12379, 49369, 39111, 52692, 24539, 61591, 47864, 16479, 75268, 8714, 13002, 77147, 43518, 27206, 55859, 37448, 45026, 99974, 64632, 49061, 80418, 16471, 35694, 13935, 79838, 48842, 17708, 31401, 62091, 87121, 81929, 42013, 90709, 67578, 58116, 68886, 93119, 95079, 77456, 15723, 9867, 8176, 89745, 11058, 81413, 21659, 27181, 17420, 23028, 33694, 32735, 57645, 45216, 57659, 85443, 14390, 31520, 67089, 16537, 18930, 46784, 93102, 89799, 66551, 93104, 43768, 54006, 64618, 86482, 77459, 61365, 52346, 87286, 17384, 98165, 63330, 5866, 37693, 75360, 34753, 59823, 68266, 39383, 65072, 33192, 51847, 62362, 84073, 64213, 27059, 54703, 98366, 29565, 75000, 62235, 47788, 68928, 36478, 76067, 47020, 81656, 16396, 21661, 50156, 54102, 65670, 17584, 30347, 21534, 10216, 80544, 45508, 21591, 15435, 14502, 16369, 42077, 38334, 17694, 75056, 53845, 13319, 77808, 44423, 25669, 66463)
Average QPS expected = 50157
Timestamp start: 1715955132646
Timestamp end: 1715956033387

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      378.4   381.8    68.9   124.0   146.0   334.5   413.5   456.4   487.7   526.0   579.1   684.4  1566.8  4204.6 12197.8  50009.5    49984
read      316.5   556.8    74.4   121.8   140.5   274.0   316.4   340.6   359.8   384.1   420.4   496.2  1497.4  8227.9 28041.4   9295.5     9274
read      337.3   316.2    68.9   117.4   136.0   308.5   370.6   411.9   446.2   487.5   536.1   622.3  1043.5  1943.5  9447.2  26975.0    27187
read      416.8   908.9    68.9   112.2   131.1   298.8   389.1   453.5   513.9   601.0   701.8   820.9  1805.3 10657.1 32318.9  18835.0    18735
read      437.5   579.8    63.8   128.7   156.4   354.1   436.5   489.0   532.5   595.1   697.4   909.4  1888.9  7333.8 25715.3  86353.0    86505
read      371.1   289.6    68.9   127.8   152.5   333.5   415.2   462.8   498.7   542.9   608.1   719.3  1013.9  2939.0  7971.0  93125.5    93039
read      352.0   254.7    59.1   121.8   143.5   322.6   403.5   450.0   484.4   526.4   581.6   673.1   896.2  1727.6 12351.8  76005.5    75999
read      337.0   261.5    68.9   120.5   139.0   308.9   376.1   418.1   450.1   489.6   539.1   615.4  1017.5  2202.8  9145.6  32421.5    32324
read      383.3   381.5    63.8   125.2   149.0   328.6   410.3   460.3   499.8   548.7   620.2   742.7  1582.8  3681.2  8858.0  84036.5    84255
read      355.2   338.3    63.8   121.5   143.5   320.2   396.8   441.9   475.7   519.5   581.4   679.3   908.4  4432.3  9104.3  81606.0    81759
read      338.6   240.4    74.4   121.3   140.5   318.2   385.2   424.7   454.7   491.0   536.0   607.5   835.5  2148.4  7927.1  37309.0    37291
read      356.2   352.1    68.9   125.2   145.6   323.5   401.0   442.3   470.6   506.4   552.7   628.4  1032.1  3647.0 12472.4  53904.0    53818
read      329.0   205.4    68.9   119.1   137.9   311.0   371.7   409.6   438.8   476.9   522.9   588.9   838.4  1792.0  8330.9  30582.0    30297
read      345.4   417.5    68.9   117.8   136.2   312.6   375.7   416.0   447.1   485.8   533.1   608.0  1107.7  4688.7 14719.7  31547.0    31569
read      348.5   269.2    68.9   122.8   143.0   326.6   398.1   437.8   469.1   506.5   554.8   629.3   943.9  1973.0  9162.5  38827.0    38927
read      331.2   276.0    80.4   136.5   156.9   311.8   360.2   387.5   407.9   435.0   476.2   550.6   920.6  3670.2  8065.7  10609.0    10652
read      387.8   434.0    68.9   137.0   160.8   344.3   424.6   470.2   506.4   553.6   622.8   735.5  1018.6  5551.9 15888.7  97662.0    98119
read      366.1   315.2    68.9   125.4   146.0   338.4   417.7   461.1   494.8   535.3   585.9   662.9   974.3  3157.2 10174.4  48103.0    48176
read      352.6   246.8    68.9   122.6   141.9   323.3   396.9   443.9   479.6   520.8   571.2   638.8  1040.3  3104.1  7684.2  35092.0    34929
read      366.2   320.2    68.9   126.0   146.1   333.9   416.2   462.4   497.3   540.2   596.9   688.5   924.4  3596.8 10539.9  69753.5    69735
read      361.8   419.5    68.9   123.8   143.8   313.7   395.6   438.7   469.1   505.4   552.9   683.2  1291.9  5480.6 15901.2  20715.0    20753
read      388.8   459.4    68.9   128.1   150.6   335.1   415.6   463.8   502.3   552.2   622.3   740.2  1486.9  5083.4 14425.8  84321.0    84642
read      370.9   441.2    68.9   123.2   142.9   333.6   410.5   455.0   488.5   529.0   580.0   655.7  1199.7  4277.9 15669.4  42448.5    42333
read      380.9   312.3    68.9   127.0   147.4   340.1   425.5   473.2   509.8   553.8   610.6   705.7  1437.1  3319.2  9334.0  61807.0    61587
read      391.0   498.5    68.9   128.5   150.3   336.6   420.2   469.4   507.3   553.4   621.1   735.8  1407.7  5101.6 21676.4  77799.5    77998
read      413.1   458.7    68.9   139.6   167.5   361.7   441.0   487.6   524.5   576.1   654.8   794.6  1496.0  4757.6 12546.5  97720.5    97625
