#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      386.0   470.2   160.7   210.3   224.0   331.3   396.4   436.2   468.2   508.6   562.9   640.1  1035.8  4778.1 19132.1  71898.2    72037
read      398.5   317.7   160.7   210.3   223.8   337.9   433.8   494.2   534.6   577.3   624.6   688.4   989.5  3257.7 13225.9  37996.7    38071
read      414.4   452.8   160.7   212.8   227.3   347.4   420.0   465.6   502.0   546.2   607.4   715.1  1694.7  4853.6 15034.7  67465.6    67605
read      402.5   426.6   160.7   209.0   222.3   330.8   430.6   494.6   534.5   575.8   621.9   688.0  1154.3  4398.2 14894.3  36682.8    36718
read      549.9  1069.6   160.7   212.7   227.9   419.6   530.2   593.1   641.9   697.9   766.8   889.0  3637.5 14412.6 36651.6  20886.2    20866
read      416.3   439.9   160.7   215.2   229.9   348.9   410.7   448.8   478.2   516.8   573.8   692.0  1762.7  5021.1 12545.1  91438.0    91618
read      399.8   408.6   148.8   210.2   223.7   333.2   414.4   471.5   515.7   563.2   616.5   685.9  1218.9  4928.9 13932.1  46082.4    45965
read      407.6   518.2   160.7   212.7   226.4   380.3   455.6   486.8   506.4   530.0   556.9   603.5   824.7  6716.3 29635.0  17215.2    17183
read      377.2   207.0   160.7   208.4   222.0   329.8   440.4   491.5   521.0   549.1   581.8   624.8   700.2  1035.0  6951.6  30255.1    30269
read      371.5   199.9   148.8   207.0   220.5   325.3   413.5   473.0   510.7   546.3   584.2   631.7   720.9  1085.4  7065.7  39214.9    39201
read      362.5   167.4   148.8   208.8   222.7   326.4   394.5   436.8   471.3   514.3   562.8   622.4   720.4  1100.1  5781.3  59352.4    59338
read      353.0   302.8   160.7   208.8   222.6   322.9   382.6   418.0   444.7   478.1   522.9   587.4   703.8  1172.5  7217.4  80707.4    80847
read      381.0   352.1   160.7   222.6   237.8   376.5   418.1   438.2   453.3   468.3   490.8   522.6   611.3  4255.7 17167.3   9621.6     9615
read      370.3   353.3   148.8   207.6   221.3   325.6   402.6   458.7   500.1   542.2   586.7   640.1   735.3  1156.3  5936.5  46415.4    46447
read      376.0   189.8   148.8   207.1   221.2   326.0   420.3   484.0   522.2   558.7   597.3   646.1   736.6  1165.1  7101.8  38334.6    38398
read      376.5   224.7   148.8   207.7   222.1   328.2   414.9   476.9   517.1   555.7   595.8   647.0   741.9  1091.4  9140.1  42020.2    41918
read      391.9   273.9   160.7   212.8   227.1   385.4   459.6   490.3   509.4   530.7   553.2   589.6   669.1  1554.7 13275.5  16955.8    16963
read      371.5   190.6   160.7   208.2   222.5   328.4   404.5   460.1   500.2   541.9   586.7   639.5   737.2  1086.2  6740.5  46676.2    46640
read      366.2   197.9   160.7   207.6   221.7   324.8   396.4   445.8   485.8   530.5   577.9   633.9   732.8  1049.2  8262.7  52722.4    52871
read      352.9   277.0   148.8   206.1   220.2   323.8   385.2   421.2   448.4   481.8   526.1   590.9   714.2  1149.8  5155.1  81556.1    81594
read      384.9   213.8   160.7   213.3   227.1   379.9   450.5   480.0   498.5   518.7   541.5   577.5   657.7  1679.9  8938.2  16158.8    16160
read      372.6   186.2   160.7   207.9   221.7   323.8   419.2   480.1   516.2   550.2   586.7   632.5   715.0  1083.5  5861.9  36082.0    36107
read      384.8   212.3   160.7   212.5   226.5   376.4   454.5   486.4   505.9   527.4   549.5   586.4   662.8  1426.7  9641.3  17832.7    17772
read      364.4   165.2   148.8   207.9   222.3   328.7   396.2   438.4   472.8   515.8   566.9   631.4   737.3  1059.2  5396.8  63169.4    63184
read      387.3   207.6   148.8   209.3   223.9   351.2   462.0   502.8   526.7   550.2   579.4   619.4   693.0  1307.8  8610.4  24210.3    24248

Total QPS = 48806.4 (43925772 / 900.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 10849665931 bytes :   11.5 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 100.00%,0.50%,100.00%
