#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      347.8   219.2   148.8   210.5   225.2   323.9   379.3   410.5   431.9   456.2   485.1   529.1   639.7  1941.1  9237.1  30458.4    30390  1715445553022  1715445563140
read      350.3   228.4   148.8   210.8   225.5   325.4   382.2   413.5   434.7   459.4   489.4   534.8   660.9  2113.0 10147.1  30418.4    30395  1715445564651  1715445574776
read      347.5   195.1   148.8   211.4   226.0   326.2   384.0   414.5   434.9   458.0   485.2   526.3   631.4  1184.6  8908.6  30318.2    30400  1715445576285  1715445586403
read      350.1   199.8   160.7   214.3   228.6   328.3   384.6   414.8   434.9   458.3   486.3   528.8   637.0  1277.6  8601.5  30320.0    30405  1715445587909  1715445598036
read      355.2   242.5   148.8   214.6   229.3   329.7   384.8   415.6   436.6   461.1   491.5   538.9   683.2  1994.5 12037.4  30445.4    30410  1715445599547  1715445609664
read      349.4   213.6   148.8   213.8   228.2   326.4   381.3   411.5   432.3   456.1   484.7   528.2   637.8  1675.8  8626.4  30523.7    30415  1715445611174  1715445621298
read      350.0   229.8   160.7   212.0   226.7   325.3   379.8   410.4   431.7   456.7   487.1   533.8   663.5  2014.1  9153.8  30415.6    30420  1715445622807  1715445632930
read      352.4   201.1   160.7   214.0   228.5   328.5   386.1   417.5   438.6   462.8   492.7   537.5   657.3  1567.7  8928.2  30431.3    30425  1715445634437  1715445644553
read      340.8   218.1   160.7   211.8   225.6   315.3   366.4   397.3   419.8   444.9   474.7   520.9   636.8  1476.0  9710.4  30428.8    30430  1715445646064  1715445656178
read      350.1   222.1   148.8   212.4   227.1   326.4   383.1   414.1   435.3   459.8   489.0   533.0   647.9  1512.1  9234.2  30475.0    30435  1715445657689  1715445667809
read      352.2   220.6   148.8   212.2   226.8   327.8   385.1   416.3   437.4   461.8   491.7   537.5   661.4  1997.3  8778.6  30466.9    30440  1715445669319  1715445679440
read      349.3   200.0   148.8   212.4   227.3   327.3   382.5   412.4   433.3   457.0   485.5   529.3   641.5  1523.0  8628.6  30462.0    30445  1715445680951  1715445691070
read      349.7   254.8   148.8   210.3   225.5   323.9   378.7   410.0   431.8   456.7   487.0   533.5   651.2  2254.9 12501.8  30461.7    30450  1715445692581  1715445702697
read      351.7   231.3   160.7   211.3   226.5   327.0   383.9   415.3   436.5   461.1   491.4   537.1   655.2  1900.0 10369.2  30441.4    30455  1715445704206  1715445714322
read      350.9   213.5   148.8   215.0   229.3   328.1   383.7   413.9   434.3   457.9   486.2   529.1   635.9  1750.7  8492.4  30435.8    30460  1715445715833  1715445725965
read      349.5   222.6   148.8   211.1   225.9   325.7   381.5   411.9   432.9   456.8   485.7   530.4   647.6  1961.4  8510.3  30450.2    30465  1715445727473  1715445737591
read      349.8   211.4   148.8   212.6   227.1   326.2   382.0   412.6   433.6   457.7   486.8   532.0   655.8  1806.0  8727.6  30443.2    30470  1715445739101  1715445749225
read      349.8   202.3   160.7   210.9   225.7   326.2   384.6   415.6   436.2   460.0   488.7   532.2   643.5  1852.6  8406.4  30434.1    30475  1715445750733  1715445760850
read      351.9   183.2   148.8   217.4   232.3   330.3   386.0   416.6   436.9   460.2   488.5   531.3   636.4  1387.2  7944.2  30466.5    30480  1715445762362  1715445772481
read      354.3   201.6   148.8   217.2   231.9   331.3   388.1   418.7   439.1   462.5   491.2   533.9   645.1  1766.4  8582.4  30512.5    30485  1715445773991  1715445784110
read      349.7   219.3   160.7   212.1   226.8   326.3   382.4   412.6   433.2   457.1   486.2   530.8   645.5  1696.9  9982.5  30424.4    30490  1715445785618  1715445795731
read      346.9   203.4   160.7   210.8   225.6   324.2   380.5   410.9   431.5   455.1   482.9   524.4   629.2  1653.3  8280.1  30453.3    30495  1715445797241  1715445807357
read      350.3   222.4   148.8   211.6   226.2   326.2   384.1   415.3   435.7   459.6   488.1   531.1   639.8  2030.8  8919.8  30447.6    30500  1715445808866  1715445818978
